Id,Precinct,Violation,2007,2008,2009,2010,2011,2012,2013,2014,2015
244,1,BROKEN WINDSHIELD,5,1,0,0,0,0,0,0,0
245,1,CONSUMPTION OF ALCOHOL,137,332,204,223,252,272,473,492,60
246,1,CRUISING PROHIBITED - MEDALLION,1,2,0,1,1,0,0,0,0
247,1,DEFECTIVE BREAKLIGHT,17,1,4,9,1,4,0,0,0
248,1,DEFECTIVE HEADLIGHT,24,17,1,27,2,1,0,0,0
249,1,DISORDERLY CONDUCT,334,324,299,405,441,459,425,235,32
250,1,INADEQUATE MOTOR VEHICLE EQUIPMENT,96,19,50,34,3,4,17,4,0
251,1,PARKING A VEHICLE EXCEEDING 12 INCHES FROM CURB,1,0,0,0,0,0,0,0,0
252,1,EXPOSURE OF PERSON,12,11,12,10,10,7,5,0,0
253,1,FEDERAL MOTOR VEHICLE SAFETY REGULATIONS,258,1292,3695,1512,509,943,574,411,34
254,1,IMPROPER DISPLAY REG. STKR.,1,0,0,0,0,0,0,0,0
255,1,LITTERING,36,35,52,5,6,5,9,12,3
256,1,"MARIJUANA, POSSESSION OF",24,25,35,20,37,45,100,75,11
257,1,NO CERTIFICATE OF AUTHORITY,36,4,4,20,14,35,11,0,0
258,1,NO CHAUFFEURS LICENSE (CLASS E),3,1,2,8,10,2,5,0,0
259,1,COMMERCIAL VEHICLES NO NAME OR ADDRESS DISPLAYED,68,57,105,99,42,53,47,27,0
260,1,NO TAX STAMP,153,178,437,245,89,80,92,46,1
261,1,OBSTRUCTING TRAFFIC,3,0,0,1,0,1,1,0,0
262,1,OTHER ADMINISTRATIVE CODE,105,139,187,222,151,130,88,59,15
263,1,OTHER HEALTH CODE,48,34,20,16,5,12,2,6,1
264,1,OTHER NYS TRANSPORTATION,661,294,146,51,77,135,318,50,1
265,1,OTHER TAX LAW,52,12,3,0,1,2,0,0,0
266,1,OTHER TRAFFIC REGULATIONS,70,50,121,99,35,57,57,25,2
267,1,OTHER VEHICLE TRAFFIC LAW,74,55,159,76,54,69,81,44,4
268,1,OVERWEIGHT (VEHICLE),24,5,12,18,0,0,9,1,0
269,1,PAVEMENT MARKING (DISOBEY),1,0,0,0,0,0,0,0,0
270,1,RECKLESS DRIVING,43,47,49,59,83,120,127,35,3
271,1,TRESPASS,29,35,21,30,26,72,24,45,38
272,1,UNINSPECTED VEHICLE,21,19,21,19,4,4,7,4,0
273,1,UNINSURED VEHICLE,12,24,31,22,8,9,5,3,0
274,1,UNREGISTERED VEHICLE,35,35,73,55,26,53,27,22,1
275,1,URINATING IN PUBLIC,163,265,174,241,220,229,298,156,21
276,1,VENDOR: DISPLAY MERCHANDISE ON SIDEWALK,9,1,6,1,0,6,0,0,0
277,1,VENDOR: UNLICENSED,6,19,7,8,6,0,3,0,0
278,1,INDETERMINABLE,1105,0,6,0,9,4,9,2,0
279,1,DEFECTIVE REFLECTOR,3,3,3,7,0,0,0,0,0
280,1,FAILURE TO COMPLY WITH SIGN,8,11,8,1,7,4,24,16,0
281,1,HIGHWAY USE TAX (NEW YORK STATE),44,36,71,33,3,5,26,9,1
282,1,NOISE (UNREASONABLE),4,0,1,3,10,23,4,4,0
283,1,OTHER PENAL LAW,5,2,5,2,5,1,4,2,0
284,1,PARK REGULATIONS(LITTERING/POLLUTING/DUMPING/UNATTENDED PROPERTY),2,30,3,0,0,1,2,0,0
285,1,SALE/PURCHASE/USE OF ALCOHOL BY MINOR,4,10,13,16,6,14,11,2,1
286,1,SPITTING IN PUBLIC,4,1,3,1,5,4,5,5,1
287,1,UNLICENSED OPERATOR,14,10,19,6,1,7,6,3,0
288,1,BICYCLE INFRACTION (COMMERCIAL),2,0,0,0,2,6,8,3,0
289,1,DOING BUS WITH OTHER NAME,1,0,0,0,0,0,0,0,0
290,1,IMPROPER PLATES,9,2,14,2,0,0,0,0,0
291,1,"KNIFE, ANY IN PUBLIC VIEW",9,4,4,2,8,5,1,2,0
292,1,DISORDERLY PREMISE LICENSED TO SELL ALCOHOL,5,0,2,1,0,4,3,1,3
293,1,FAIL TO COMPLY WITH ORDER,3,2,1,0,0,2,1,0,0
294,1,FAIL TO COMPLY WITH TAXI LIMOUSINE COMMISSION REGULATIONS,3,2,3,11,1,6,2,12,0
295,1,SAFETY BELT (ADULT),2,0,0,0,0,0,0,0,0
296,1,UNINSURED VEHICLES FOR HIRE,1,0,1,3,5,0,2,0,0
297,1,OTHER PARK REGULATIONS,1,1,10,8,21,21,37,40,1
298,1,ACCEPT ON HAIL,6,10,7,40,57,20,12,6,0
299,1,IMPROPER REGISTRATION,3,0,2,0,0,0,0,0,0
300,1,OTHER TRANSIT REGULATIONS,4,0,0,1,18,11,1,0,0
301,1,UNDERAGE DRINKING,4,10,4,8,9,5,2,4,0
302,1,MISUSE OF DEALER PLATES,3,0,0,0,0,0,0,0,0
303,1,NO TRIP SHEET,6,0,0,0,1,0,2,0,0
304,1,POSSESSION OF KNIFE,3,1,0,0,4,1,6,2,8
305,1,REVOKED REGISTRATION,5,3,0,0,1,2,3,1,0
306,1,UNAUTHORIZED POSTING,1,2,3,0,0,0,0,1,0
307,1,INVALID PROOF OF INSURANCE,2,0,3,0,0,0,0,0,0
308,1,NO SECURITY GUARD LICENSE,4,2,3,4,6,3,0,0,1
309,1,NOISE (DEVICE),1,0,1,0,1,1,0,0,0
310,1,OTHER TAXI LIMOUSINE COMMISSION,2,0,0,0,1,1,7,0,0
311,1,SALE OF ALCOHOL TO A MINOR,1,3,0,4,12,11,3,4,0
312,1,SOUND REPRODUCTION DEVICE-NO PERMIT,1,1,0,0,1,2,2,7,0
313,1,VEHICLE IN PARK,2,1,0,0,0,0,0,0,0
314,1,HARASSMENT 2,9,1,1,2,6,1,1,0,0
